kanji, hanViet,
引,DẪN,
羽,VŨ,
雲,VÂN,
園,VIÊN,
遠,VIỄN,
黄,HOÀNG,
何,HÀ,
夏,HẠ,
家,GIA,
科,KHOA,
歌,CA,
画,HỌA/ HOẠCH,
会,HỘI,
回,HỒI,
海,HẢI,
絵,HỘI,
外,NGOẠI,
角,GIÁC,
楽,NHẠC/ LẠC,
活,HOẠT,
間,GIAN,
丸,HOÀN,
岩,NHAM,
顔,NHAN,
帰,QUY,
汽,KHÍ,
記,KÝ,
弓,CUNG,
牛,NGƯU,
魚,NGƯ,
京,KINH,
強,CƯỜNG,
教,GIÁO,
近,CẬN,
兄,HUYNH,
形,HÌNH,
計,KẾ,
元,NGUYÊN,
原,NGUYÊN,
言,NGÔN,
古,CỔ,
戸,HỘ,
午,NGỌ,
後,HẬU,
語,NGỮ,
交,GIAO,
光,QUANG,
公,CÔNG,
工,CÔNG,
広,QUẢNG,
考,KHẢO,
行,HÀNH,
高,CAO,
合,HỢP,
国,QUỐC,
黒,HẮC,
今,KIM,
才,TÀI,
細,TẾ,
作,TÁC,
算,TOÁN,
姉,TỶ,
市,THỊ,
思,TƯ,
止,CHỈ,
紙,CHỈ,
寺,TỰ,
時,THỜI,
自,TỰ,
室,THẤT,
社,XÃ,
弱,NHƯỢC,
首,THỦ,
秋,THU,
週,CHU,
春,XUÂN,
書,THƯ,
少,THIỂU,
場,TRƯỜNG,
色,SẮC,
食,THỰC,
心,TÂM,
新,TÂN,
親,THÂN,
図,ĐỒ,
数,SỐ,
星,TINH,
晴,TÌNH,
声,THANH,
西,TÂY,
切,THIẾT,
雪,TUYẾT,
線,TUYẾN,
船,THUYỀN,
前,TIỀN,
組,TỔ,
走,TẨU,
多,ĐA,
太,THÁI,
体,THỂ,
台,ĐÀI,
谷,CỐC,
知,TRI,
地,ĐỊA,
池,TRÌ,
茶,TRÀ,
昼,TRÚ,
朝,TRIỀU,
長,TRƯỜNG,
鳥,ĐIỂU,
直,TRỰC,
通,THÔNG,
弟,ĐỆ,
店,ĐIẾM,
点,ĐIỂM,
電,ĐIỆN,
冬,ĐÔNG,
刀,ĐAO,
東,ĐÔNG,
当,ĐƯƠNG,
答,ĐÁP,
頭,ĐẦU,
同,ĐỒNG,
道,ĐẠO,
読,ĐỘC,
内,NỘI,
南,NAM,
肉,NHỤC,
馬,MÃ,
買,MÃI,
売,MẠI,
麦,MẠCH,
半,BÁN,
番,PHIÊN,
父,PHỤ,
風,PHONG,
分,PHÂN,
聞,VĂN/ VẤN,
米,MỄ,
歩,BỘ,
母,MẪU,
方,PHƯƠNG,
北,BẮC,
妹,MUỘI,
毎,MỖI,
万,VẠN,
明,MINH,
鳴,MINH,
毛,MAO,
門,MÔN,
夜,DẠ,
野,DÃ,
矢,THỈ,
友,HỮU,
曜,DIỆU,
用,DỤNG,
来,LAI,
理,LÝ,
里,LÝ,
話,THOẠI,
